Store,avg_daily_sales,sales_cv,avg_daily_customers,promo_lift_pct,promo_day_share,n_open_days,cluster,pca_x,pca_y
1,4776.826845637584,0.21363216635277266,566.751677852349,22.246863464350294,0.44966442953020136,745,1,0.22485314621335953,-1.7517319899528931
2,4954.3422459893045,0.32572092878886677,583.1604278074866,62.647521806540986,0.4532085561497326,748,3,-1.7682455713258323,0.41610108420003966
3,6947.705248990579,0.31715648388953904,752.9973082099597,64.8104273991561,0.4508748317631225,743,3,-1.0531599184667757,1.045861910452933
4,9621.410427807486,0.20212225273943593,1323.9532085561498,18.712245108481056,0.45187165775401067,748,0,2.440489659079201,-0.02111229008821421
5,4685.900403768506,0.37864559187026686,538.7765814266487,73.63738601558151,0.4522207267833109,743,3,-2.587047460173411,1.100742025223279
6,5560.903225806452,0.28362419429941144,641.4771505376344,44.67856891329089,0.4529569892473118,744,1,-0.73912409256983,-0.2755913821123881
7,8766.276,0.277137330149331,944.9813333333333,41.40181876481849,0.452,750,1,0.5119685253081155,0.6124214562599476
8,5500.093582887701,0.3421644043382244,655.6136363636364,67.50067655301392,0.45187165775401067,748,3,-1.786033684381822,0.9216311509412614
9,6525.421265141319,0.24724402996032288,578.0336473755048,31.716035722831993,0.4508748317631225,743,1,0.05071214384493725,-0.8473517022479016
10,5551.848930481284,0.18883689164902617,593.8890374331551,27.23225172839456,0.45187165775401067,748,1,0.4476912889940909,-1.6687070596311946
11,8061.685828877005,0.2802496031141596,1135.3275401069518,30.28799271250739,0.45187165775401067,748,0,0.9078355408411313,0.4460287437484777
12,7590.298128342246,0.27023791862622704,897.8328877005348,49.51704235708602,0.45187165775401067,748,1,0.0494434349494716,0.4986035318131503
13,5021.834188034188,0.31754848176819606,384.4769230769231,63.054255923102296,0.4427350427350427,585,3,-1.7578593999029124,0.228634336760499
14,5516.676985195155,0.2683662772531696,633.349932705249,47.564938105290835,0.4508748317631225,743,1,-0.6661490467298722,-0.32000026889474115
15,6665.601604278075,0.24299663397843888,663.913101604278,38.17585937112795,0.45187165775401067,748,1,0.04606864137148609,-0.5662530206397833
16,7658.624831309042,0.2480727089271619,851.8110661268556,41.93938521356597,0.4493927125506073,741,1,0.43097391787226164,0.06541732915495868
17,6352.936997319035,0.3944121134905562,794.3364611260054,82.15842221461529,0.45308310991957107,746,3,-2.2508682809134237,2.143529718191894
18,6542.017426273458,0.272580990836298,713.6554959785523,43.5572203859002,0.45308310991957107,746,1,-0.31749243126024423,-0.1206796736622333
19,6458.877523553163,0.28535485801346555,626.1292059219381,51.58293459516581,0.4508748317631225,743,3,-0.7273887444727061,0.11607279707299487
20,7709.044596912521,0.21705402831131018,845.746140651801,31.271932335763154,0.4391080617495712,583,1,1.1862823612401343,-0.3856200446294794
21,5466.268556005398,0.3255948634253509,517.7017543859649,62.812020171797336,0.4493927125506073,741,3,-1.6782454614284215,0.4760117738022564
22,4505.715265866209,0.25055081323537215,504.10291595197253,43.43359060617882,0.4425385934819897,583,1,-0.6258585313508368,-0.8616172585311733
23,5523.367429340511,0.29111887248932666,483.20188425302825,51.33504368033675,0.4508748317631225,743,3,-1.1642233713649548,-0.21466177276565193
24,9371.411843876178,0.27718599373816616,837.1211305518169,44.36088418336008,0.4508748317631225,743,1,0.4283041511617142,0.6805773426321174
25,11176.765363128492,0.25851699464147576,1575.8533519553073,35.196760360681026,0.4511173184357542,716,0,2.2416704889478662,1.6040367940346456
26,6663.938337801608,0.30424878395720545,556.4034852546916,52.712495487857616,0.45308310991957107,746,3,-1.0162807170739894,0.2312326753344675
27,9481.573351278601,0.306149949182434,1078.7442799461642,56.29470481491988,0.4508748317631225,743,3,0.2457424272457941,1.632650037050836
28,5326.67074829932,0.40587705193478885,585.4761904761905,65.74314161699782,0.454421768707483,735,3,-2.4515871435974432,1.2711940381093498
29,7342.335127860027,0.3017563402508192,653.5181695827725,43.137136201840995,0.4508748317631225,743,1,-0.4194921116827104,0.22276689905551228
30,5357.944669365722,0.28671273181168083,786.8488529014845,42.05151936730084,0.4493927125506073,741,1,-0.4534261993138226,-0.1192764389381098
31,5867.798128342246,0.2291722719893401,587.9117647058823,29.243967761379796,0.45187165775401067,748,1,0.12118383666766239,-1.2028097711005001
32,4054.374358974359,0.31481778302081553,476.8615384615385,64.61986456722299,0.4427350427350427,585,3,-1.8433992099721603,0.19140039655860855
33,8455.092866756393,0.20735240124897328,840.2193808882907,24.449222710540315,0.4508748317631225,743,1,1.3384062858732113,-0.6815126221059641
34,8015.360962566845,0.18794435437122342,994.2045454545455,26.374784506408776,0.45187165775401067,748,1,1.554909797299684,-0.6827439606702376
35,9644.1467025572,0.30791597638804175,729.5033647375504,56.22749420109864,0.4508748317631225,743,3,-0.23211301584453423,1.199360663828751
36,9316.537542662116,0.13981544566495488,1089.8873720136519,14.103408599335548,0.44197952218430037,586,0,2.8860542789437487,-0.9576596131063296
37,7136.356182795699,0.26708088930676616,784.9475806451613,27.88168148725532,0.45161290322580644,744,1,0.39404066927264536,-0.392716279660198
38,6000.7819650067295,0.3025250178906915,536.1157469717363,48.180033933880246,0.4508748317631225,743,3,-1.001206528387082,-0.041690403608828565
39,4859.162853297443,0.38568345578815794,632.1211305518169,73.51523102876693,0.4508748317631225,743,3,-2.4438219477920047,1.3370497024992989
40,4927.978378378379,0.23065196573931007,668.3337837837838,20.081510592263466,0.45,740,1,0.31125996827782293,-1.500625403532108
41,5313.581911262799,0.2625290868997415,396.41808873720134,24.023607002217965,0.44197952218430037,586,1,-0.19051124844330108,-1.30317467212762
42,10184.496635262449,0.2431429802412252,1103.1103633916555,41.198581744755025,0.4508748317631225,743,0,1.3365602962306897,0.8084796965888463
